qid,bm_loc,dn_loc,ans_loc,un_loc,pool_loc,bm_n,dn_n
TQznxYl7hW2DpflA,0.04,0.03,0.28,0.0330188679245283,903,12,9
xtsxie2yvMyHgP22,0.03,0.02,0.24,0.02526315789473684,914,9,6
3papqUK2pmOgD7uO,0.006666666666666667,0.006666666666666667,0.06,0.007220216606498195,639,2,2
ehsPUf2KTTIUUlVh,0.5966666666666667,0.20333333333333334,1.0,0.3862815884476534,19543,179,61
AoYwrJPaEymuBosz,0.02666666666666667,0.04,0.26,0.02663934426229508,3027,8,12
OquSZrtq66ThuvxS,0.043333333333333335,0.03,0.32,0.034482758620689655,1646,13,9
42CgVLALUbDmBgnC,0.02,0.006666666666666667,0.12,0.012345679012345678,134,6,2
Pn0LCfwlI5Wz3VmG,0.0,0.0,0.0,0.0,0,0,0
KzFAJyxhgK8ONzBz,0.02,0.01,0.14,0.015,3157,6,3
5OJeaEATWoCZ4o8E,0.07,0.06,0.48,0.06368330464716007,12145,21,18
TSC2tDeG8XOgiYFi,0.013333333333333334,0.013333333333333334,0.14,0.013816925734024179,910,4,4
0r2Eel7jUXZ1SZaR,0.24,0.056666666666666664,0.92,0.1423487544483986,19543,72,17
jEnTTA6yKYpY12ej,0.043333333333333335,0.04666666666666667,0.4,0.04073319755600815,859,13,14
S4gu5GYYkZB5bvT3,0.06333333333333334,0.06,0.52,0.05730129390018484,12145,19,18
kwN9lUq32L3x8VOM,0.0033333333333333335,0.01,0.08,0.006745362563237774,599,1,3
8Wvw1g8Xh0rEV3lh,0.07,0.08,0.5,0.05056179775280899,3027,21,24
qSpKiaIjJY5U4BBA,0.02666666666666667,0.016666666666666666,0.2,0.02071563088512241,1638,8,5
qQyJvoWZLqErG8r2,0.023333333333333334,0.0033333333333333335,0.12,0.013182674199623353,1157,7,1
15E3Y5agYQS8PNMa,0.05333333333333334,0.06,0.48,0.05393258426966292,2575,16,18
dfpfFPjdlzRExw4g,0.016666666666666666,0.016666666666666666,0.16,0.01646090534979424,869,5,5
